,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MATURITY PROFILE OF SELECT  ITEMS OF LIABILITIES AND ASSETS OF SCHEDULED COMMERCIAL BANKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(Amount in ₹ Crores),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,Banks,Deposits,,,,,,,,,Borrowings,,,,,,,,,Investments (at book value),,,,,,,,,Foreign Currency Assets,,,,,,,,,Foreign Currency Liabilities,,,,,,,,,Loans and Advances,,,,,,,,
,,,a)  1 - 14 days,b)  15 - 28 days,c)  29 days to 3 months,d)  Over 3 months to 6 months,e)  Over 6 months to 1 year,f)  Over 1 year to 3 years,g)  Over 3 years to 5 years,h)  Over 5 years,Total of Deposits,a)  1 - 14 days,b)  15 - 28 days,c)  29 days to 3 months,d)  Over 3 months to 6 months,e)  Over 6 months to 1 year,f)  Over 1 year to 3 years,g)  Over 3 years to 5 years,h)  Over 5 years,Total Of Borrowings,a)  1 - 14 days,b)  15 - 28 days,c)  29 days to 3 months,d)  Over 3 months to 6 months,e)  Over 6 months to 1 year,f)  Over 1 year to 3 years,g)  Over 3 years to 5 years,h)  Over 5 years,Total of Investments (at book value),a)  1 - 14 days,b)  15 - 28 days,c)  29 days to 3 months,d)  Over 3 months to 6 months,e)  Over 6 months to 1 year,f)  Over 1 year to 3 years,g)  Over 3 years to 5 years,h)  Over 5 years,Total of Foreign Currency Assets,a)  1 - 14 days,b)  15 - 28 days,c)  29 days to 3 months,d)  Over 3 months to 6 months,e)  Over 6 months to 1 year,f)  Over 1 year to 3 years,g)  Over 3 years to 5 years,h)  Over 5 years,Total of Foreign Currency Liabilities,a)  1 - 14 days,b)  15 - 28 days,c)  29 days to 3 months,d)  Over 3 months to 6 months,e)  Over 6 months to 1 year,f)   Over 1 year to 3 years,g)  Over 3 years to 5 years,h)  Over 5 years,Total of Loans and Advances
,,,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25),(26),(27),(28),(29),(30),(31),(32),(33),(34),(35),(36),(37),(38),(39),(40),(41),(42),(43),(44),(45),(46),(47),(48),(49),(50),(51),(52),(53),(54)
,2025,BANK OF BARODA,"99,724.93","69,674.60","160,446.68","103,284.31","259,585.99","297,231.51","84,412.39","397,674.44","1,472,034.85","34,950.42",407.64,"1,951.53","9,794.81","13,091.25","20,060.45","14,948.12","28,511.96","123,716.18","98,668.65","11,238.30","20,180.47","18,351.65","50,437.98","63,073.87","23,970.01","99,477.52","385,398.45","70,924.24","13,363.98","33,097.47","22,503.43","31,951.65","69,739.41","46,919.71","20,617.71","309,117.60","52,958.08","15,958.09","32,396.98","27,821.62","37,515.12","43,014.02","22,345.14","36,992.85","269,001.90","22,148.75","22,219.89","87,028.75","87,221.43","133,734.69","481,500.49","182,948.85","192,755.05","1,209,557.90"
,,BANK OF INDIA,"64,886.03","23,463.27","85,209.81","54,887.10","74,539.81","94,948.92","80,013.49","338,593.04","816,541.49","32,996.15",653.21,"3,600.13","12,114.38","33,552.74","19,429.84","8,802.30","12,707.67","123,856.43","1,579.92","1,163.89","6,225.80","7,699.14","2,952.27","28,149.22","39,776.52","171,565.05","259,111.80","14,124.47","16,185.28","38,891.18","21,525.73","9,284.04","32,943.63","23,532.40","10,287.59","166,774.32","19,058.79","10,709.84","26,853.42","24,019.04","37,173.87","20,905.02","15,027.87",140.49,"153,888.34","39,758.97","15,865.04","35,053.64","31,203.10","38,077.72","278,383.39","65,633.77","145,681.41","649,657.04"
,,BANK OF MAHARASHTRA,"9,347.94","6,419.46","19,296.60","20,031.90","77,390.43","73,851.90","37,280.10","63,524.28","307,142.61",42.26,-,84.50,682.99,"7,383.49","11,462.26","1,774.00","2,423.02","23,852.52","18,175.04","1,062.92","3,423.35","4,657.39","14,166.83","14,463.07","9,676.66","16,379.53","82,004.79","1,656.40",784.71,"1,610.88","3,172.33","6,410.93",-,-,-,"13,635.25","1,979.45",983.48,"1,309.93","2,982.17","6,502.16",54.71,3.49,-,"13,815.39","4,152.20","4,810.13","13,744.54","16,139.64","32,462.56","56,433.12","38,780.17","69,561.43","236,083.80"
,,CANARA BANK,"119,806.74","36,972.51","94,279.95","99,726.92","249,655.36","461,281.60","128,570.20","266,589.90","1,456,883.18","14,799.75",726.54,793.28,"4,714.98","10,102.07","22,384.75","11,585.61","24,558.14","89,665.12","1,410.96",644.23,"6,771.82","4,088.49","12,785.03","45,309.81","59,255.72","250,077.34","380,343.40","54,482.16","13,292.32","15,810.72","16,054.04","12,465.48","17,775.94","7,786.86","2,355.05","140,022.57","54,711.62","13,374.76","14,895.37","17,174.91","9,159.35","11,782.22","5,376.75","1,490.66","127,965.64","23,401.70","28,534.91","77,903.10","92,518.70","189,166.76","301,524.85","104,241.73","231,863.27","1,049,155.02"
,,CENTRAL BANK OF INDIA,"8,735.21","9,059.17","25,892.34","42,283.00","97,304.77","92,636.96","69,325.32","67,460.37","412,697.14","15,585.48",-,185.01,216.13,71.14,"3,526.90",6.99,"2,000.30","21,591.95","28,641.66","2,338.30","5,431.76","3,797.01","7,114.23","22,173.02","18,385.73","53,553.54","141,435.25","5,097.46","10,194.25","14,411.03","10,886.59","27,039.45",22.34,-,-,"67,651.12","3,877.29","10,620.10","14,750.73","10,560.20","26,405.71","1,277.04",193.91,-,"67,684.98","2,931.39","16,228.62","25,606.52","9,039.03","22,987.47","110,412.45","22,468.10","72,746.29","282,419.87"
,,INDIAN BANK,"73,978.28","25,202.24","70,388.70","59,074.02","86,553.68","71,957.74","56,445.77","293,553.13","737,153.56","8,591.51",0.72,"2,596.39","2,649.23","9,131.81","8,510.17",28.11,"9,999.98","41,507.92","77,538.83","11,208.27","13,226.27","12,374.55","15,299.53","17,586.90","16,223.51","61,845.26","225,303.12","8,326.00","3,772.23","12,187.82","10,304.35","3,815.54","3,850.69","2,278.56",306.27,"44,841.46","9,107.25","3,777.97","7,502.92","7,944.19","3,830.39","3,598.59","1,044.65","1,014.27","37,820.23","46,266.91","23,741.18","42,208.07","47,457.51","88,125.28","183,832.92","45,039.03","94,400.29","571,071.19"
,,INDIAN OVERSEAS BANK,"13,611.35","9,579.20","35,539.64","43,326.62","68,408.86","42,787.04","14,004.94","84,681.17","311,938.82","6,529.81","4,406.46","5,253.85","5,098.00","10,637.36","8,123.44",503.96,"1,674.78","42,227.66","32,853.24","2,931.32","8,789.37","10,702.73","18,021.16","13,153.05","3,910.64","20,683.33","111,044.84","8,567.01","6,549.99","7,225.05","6,429.34","6,032.64","4,471.43","2,188.03","2,383.13","43,846.62","7,801.26","7,227.34","5,437.59","8,712.32","7,156.68","3,710.33",656.50,"3,144.60","43,846.62","15,417.22","5,098.65","23,313.49","22,976.36","26,370.14","74,811.86","24,744.14","52,823.31","245,555.17"
