,,,,,,,,,
,MOVEMENT OF NON-PERFORMING ASSETS (NPAs) OF SCHEDULED COMMERCIAL BANKS,,,,,,,,
,,,,,,,,,
,(Amount in ₹ Crores),,,,,,,,
,,,,,,,,,
,,,As on March 31,,,,,,
,Year,Bank,Gross NPAs,,,,,Net NPAs,
,,,Opening Balance,Addition during the Year,Reduction during the Year,Write-off during the Year,Closing Balance,Opening Balance,Closing Balance
,,,(2),(3),(4),(5),(6),(7),(8)
,2025,BANK OF BARODA,"31,833.63","9,310.13","4,320.06","8,988.82","27,834.88","7,213.34","6,994.22"
,,BANK OF INDIA,"29,182.77","7,588.56","7,265.87","7,756.57","21,748.89","6,845.26","5,358.49"
,,BANK OF MAHARASHTRA,"3,833.05","1,687.86",540.80,795.59,"4,184.52",408.99,431.78
,,CANARA BANK,"40,605.00","8,544.00","3,269.00","14,350.00","31,530.00","11,823.00","7,353.00"
,,CENTRAL BANK OF INDIA,"11,340.34","3,494.58","2,270.78","3,339.36","9,224.78","3,001.95","1,543.25"
,,INDIAN BANK,"21,106.31","5,786.46","3,839.07","4,874.84","18,178.86","2,222.58","1,109.56"
,,INDIAN OVERSEAS BANK,"6,794.43","3,627.54","1,191.41","3,882.84","5,347.72","1,216.85",911.86
,,PUNJAB AND SIND BANK,"4,665.35",822.42,596.56,"1,521.15","3,370.06","1,350.46",937.06
,,PUNJAB NATIONAL BANK,"56,343.05","6,761.25","6,864.13","12,158.57","44,081.60","6,798.77","4,290.55"
,,STATE BANK OF INDIA,"84,276.33","20,817.57","7,904.99","20,308.71","76,880.20","21,051.08","19,666.92"
,,UCO BANK,"6,463.31","2,247.91","1,226.58","1,566.10","5,918.54","1,621.65","1,068.31"
,,UNION BANK OF INDIA,"43,097.73","12,073.93","8,187.90","11,633.38","35,350.38","8,989.92","5,969.29"
,,PUBLIC SECTOR BANKS,"339,541.30","82,762.21","47,477.15","91,175.93","283,650.43","72,543.85","55,634.29"
,,AXIS BANK LIMITED,"14,345.04","19,441.97","8,019.43","11,806.39","13,961.19","3,247.47","3,685.45"
,,BANDHAN BANK LIMITED,"4,784.88","5,379.01","1,212.12","2,516.21","6,435.56","1,347.61","1,692.84"
,,CITY UNION BANK LIMITED,"1,854.43",814.96,834.44,196.78,"1,638.17",898.68,653.07
,,CSB BANK LIMITED,361.07,228.75,68.69,22.66,498.46,124.90,163.53
,,DCB BANK LIMITED,"1,353.47","1,523.96","1,203.29",119.71,"1,554.43",454.33,571.55
,,DHANLAXMI BANK LIMITED,421.21,152.26,141.58,67.78,364.11,126.47,117.94
,,FEDERAL BANK LTD,"4,528.87","1,847.13","1,289.24",711.22,"4,375.54","1,255.33","1,040.38"
