Year,Report Date,Bank Name,Bank Type,Basel-I_Tier-I,Basel-I_Tier-II,Basel-I_Total,Basel-II_Tier-I,Basel-II_Tier-II,Basel-II_Total,Basel-III_Tier-I,Basel-III_Tier-II,Basel-III_Total
2025,2025-03-31,BANK OF BARODA,PUBLIC SECTOR BANKS,,,,,,,14.79,2.4,17.19
2025,2025-03-31,BANK OF INDIA,PUBLIC SECTOR BANKS,,,,,,,15.47,2.3,17.77
2025,2025-03-31,BANK OF MAHARASHTRA,PUBLIC SECTOR BANKS,,,,,,,16.86,3.67,20.53
2025,2025-03-31,CANARA BANK,PUBLIC SECTOR BANKS,,,,,,,14.37,1.96,16.33
2025,2025-03-31,CENTRAL BANK OF INDIA,PUBLIC SECTOR BANKS,,,,,,,14.73,2.29,17.02
2025,2025-03-31,INDIAN BANK,PUBLIC SECTOR BANKS,,,,,,,15.85,2.09,17.94
2025,2025-03-31,INDIAN OVERSEAS BANK,PUBLIC SECTOR BANKS,,,,,,,17.13,2.61,19.74
2025,2025-03-31,PUNJAB AND SIND BANK,PUBLIC SECTOR BANKS,,,,,,,15.59,1.81,17.4
2025,2025-03-31,PUNJAB NATIONAL BANK,PUBLIC SECTOR BANKS,,,,,,,14.05,2.96,17.01
2025,2025-03-31,STATE BANK OF INDIA,PUBLIC SECTOR BANKS,,,,,,,12.11,2.14,14.25
2025,2025-03-31,UCO BANK,PUBLIC SECTOR BANKS,,,,,,,16.37,2.12,18.49
2025,2025-03-31,UNION BANK OF INDIA,PUBLIC SECTOR BANKS,,,,,,,16.24,1.78,18.02
2025,2025-03-31,AXIS BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,15.07,2.0,17.07
2025,2025-03-31,BANDHAN BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,17.86,0.85,18.71
2025,2025-03-31,CITY UNION BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,22.7,1.05,23.75
2025,2025-03-31,CSB BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,20.59,1.87,22.46
2025,2025-03-31,DCB BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,14.3,2.47,16.77
2025,2025-03-31,DHANLAXMI BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,15.24,0.88,16.12
2025,2025-03-31,FEDERAL BANK LTD,PRIVATE SECTOR BANKS,,,,,,,15.04,1.36,16.4
2025,2025-03-31,HDFC BANK LTD.,PRIVATE SECTOR BANKS,,,,,,,17.69,1.86,19.55
2025,2025-03-31,ICICI BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,15.94,0.61,16.55
2025,2025-03-31,IDBI BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,23.51,1.54,25.05
2025,2025-03-31,IDFC FIRST BANK LIMITED,PRIVATE SECTOR BANKS,,,,,,,13.17,2.31,15.48
