Year,Report Date,Bank Name,Bank Type,Is_Aggregate,Deposits_1 - 14 days,Deposits_15 - 28 days,Deposits_29 days to 3 months,Deposits_Over 3 months to 6 months,Deposits_Over 6 months to 1 year,Deposits_Over 1 year to 3 years,Deposits_Over 3 years to 5 years,Deposits_Over 5 years,Deposits_Total of Deposits,Borrowings_1 - 14 days,Borrowings_15 - 28 days,Borrowings_29 days to 3 months,Borrowings_Over 3 months to 6 months,Borrowings_Over 6 months to 1 year,Borrowings_Over 1 year to 3 years,Borrowings_Over 3 years to 5 years,Borrowings_Over 5 years,Borrowings_Total Of Borrowings,Investments (at book value)_1 - 14 days,Investments (at book value)_15 - 28 days,Investments (at book value)_29 days to 3 months,Investments (at book value)_Over 3 months to 6 months,Investments (at book value)_Over 6 months to 1 year,Investments (at book value)_Over 1 year to 3 years,Investments (at book value)_Over 3 years to 5 years,Investments (at book value)_Over 5 years,Investments (at book value)_,Foreign Currency Assets_1 - 14 days,Foreign Currency Assets_15 - 28 days,Foreign Currency Assets_29 days to 3 months,Foreign Currency Assets_Over 3 months to 6 months,Foreign Currency Assets_Over 6 months to 1 year,Foreign Currency Assets_Over 1 year to 3 years,Foreign Currency Assets_Over 3 years to 5 years,Foreign Currency Assets_Over 5 years,Foreign Currency Assets_Total of Foreign Currency Assets,Foreign Currency Liabilities_1 - 14 days,Foreign Currency Liabilities_15 - 28 days,Foreign Currency Liabilities_29 days to 3 months,Foreign Currency Liabilities_Over 3 months to 6 months,Foreign Currency Liabilities_Over 6 months to 1 year,Foreign Currency Liabilities_Over 1 year to 3 years,Foreign Currency Liabilities_Over 3 years to 5 years,Foreign Currency Liabilities_Over 5 years,Foreign Currency Liabilities_Total of Foreign Currency Liabilities,Loans and Advances_1 - 14 days,Loans and Advances_15 - 28 days,Loans and Advances_29 days to 3 months,Loans and Advances_Over 3 months to 6 months,Loans and Advances_Over 6 months to 1 year,Loans and Advances_Over 1 year to 3 years,Loans and Advances_Over 3 years to 5 years,Loans and Advances_Over 5 years,Loans and Advances_Total of Loans and Advances
2025,2025-03-31,BANK OF BARODA,PUBLIC SECTOR BANKS,False,99724.93,69674.6,160446.68,103284.31,259585.99,297231.51,84412.39,397674.44,1472034.85,34950.42,407.64,1951.53,9794.81,13091.25,20060.45,14948.12,28511.96,123716.18,98668.65,11238.3,20180.47,18351.65,50437.98,63073.87,23970.01,99477.52,385398.45,70924.24,13363.98,33097.47,22503.43,31951.65,69739.41,46919.71,20617.71,309117.6,52958.08,15958.09,32396.98,27821.62,37515.12,43014.02,22345.14,36992.85,269001.9,22148.75,22219.89,87028.75,87221.43,133734.69,481500.49,182948.85,192755.05,1209557.9
2025,2025-03-31,BANK OF INDIA,PUBLIC SECTOR BANKS,False,64886.03,23463.27,85209.81,54887.1,74539.81,94948.92,80013.49,338593.04,816541.49,32996.15,653.21,3600.13,12114.38,33552.74,19429.84,8802.3,12707.67,123856.43,1579.92,1163.89,6225.8,7699.14,2952.27,28149.22,39776.52,171565.05,259111.8,14124.47,16185.28,38891.18,21525.73,9284.04,32943.63,23532.4,10287.59,166774.32,19058.79,10709.84,26853.42,24019.04,37173.87,20905.02,15027.87,140.49,153888.34,39758.97,15865.04,35053.64,31203.1,38077.72,278383.39,65633.77,145681.41,649657.04
2025,2025-03-31,BANK OF MAHARASHTRA,PUBLIC SECTOR BANKS,False,9347.94,6419.46,19296.6,20031.9,77390.43,73851.9,37280.1,63524.28,307142.61,42.26,,84.5,682.99,7383.49,11462.26,1774.0,2423.02,23852.52,18175.04,1062.92,3423.35,4657.39,14166.83,14463.07,9676.66,16379.53,82004.79,1656.4,784.71,1610.88,3172.33,6410.93,,,,13635.25,1979.45,983.48,1309.93,2982.17,6502.16,54.71,3.49,,13815.39,4152.2,4810.13,13744.54,16139.64,32462.56,56433.12,38780.17,69561.43,236083.8
2025,2025-03-31,CANARA BANK,PUBLIC SECTOR BANKS,False,119806.74,36972.51,94279.95,99726.92,249655.36,461281.6,128570.2,266589.9,1456883.18,14799.75,726.54,793.28,4714.98,10102.07,22384.75,11585.61,24558.14,89665.12,1410.96,644.23,6771.82,4088.49,12785.03,45309.81,59255.72,250077.34,380343.4,54482.16,13292.32,15810.72,16054.04,12465.48,17775.94,7786.86,2355.05,140022.57,54711.62,13374.76,14895.37,17174.91,9159.35,11782.22,5376.75,1490.66,127965.64,23401.7,28534.91,77903.1,92518.7,189166.76,301524.85,104241.73,231863.27,1049155.02
2025,2025-03-31,CENTRAL BANK OF INDIA,PUBLIC SECTOR BANKS,False,8735.21,9059.17,25892.34,42283.0,97304.77,92636.96,69325.32,67460.37,412697.14,15585.48,,185.01,216.13,71.14,3526.9,6.99,2000.3,21591.95,28641.66,2338.3,5431.76,3797.01,7114.23,22173.02,18385.73,53553.54,141435.25,5097.46,10194.25,14411.03,10886.59,27039.45,22.34,,,67651.12,3877.29,10620.1,14750.73,10560.2,26405.71,1277.04,193.91,,67684.98,2931.39,16228.62,25606.52,9039.03,22987.47,110412.45,22468.1,72746.29,282419.87
2025,2025-03-31,INDIAN BANK,PUBLIC SECTOR BANKS,False,73978.28,25202.24,70388.7,59074.02,86553.68,71957.74,56445.77,293553.13,737153.56,8591.51,0.72,2596.39,2649.23,9131.81,8510.17,28.11,9999.98,41507.92,77538.83,11208.27,13226.27,12374.55,15299.53,17586.9,16223.51,61845.26,225303.12,8326.0,3772.23,12187.82,10304.35,3815.54,3850.69,2278.56,306.27,44841.46,9107.25,3777.97,7502.92,7944.19,3830.39,3598.59,1044.65,1014.27,37820.23,46266.91,23741.18,42208.07,47457.51,88125.28,183832.92,45039.03,94400.29,571071.19
2025,2025-03-31,INDIAN OVERSEAS BANK,PUBLIC SECTOR BANKS,False,13611.35,9579.2,35539.64,43326.62,68408.86,42787.04,14004.94,84681.17,311938.82,6529.81,4406.46,5253.85,5098.0,10637.36,8123.44,503.96,1674.78,42227.66,32853.24,2931.32,8789.37,10702.73,18021.16,13153.05,3910.64,20683.33,111044.84,8567.01,6549.99,7225.05,6429.34,6032.64,4471.43,2188.03,2383.13,43846.62,7801.26,7227.34,5437.59,8712.32,7156.68,3710.33,656.5,3144.6,43846.62,15417.22,5098.65,23313.49,22976.36,26370.14,74811.86,24744.14,52823.31,245555.17
2025,2025-03-31,PUNJAB AND SIND BANK,PUBLIC SECTOR BANKS,False,4169.25,2097.39,10833.93,16347.12,28231.59,34201.64,5684.89,28208.21,129774.02,4260.14,,132.35,1216.55,1709.84,3121.36,784.29,3004.99,14229.52,155.83,293.76,852.54,865.5,2169.82,5624.31,6431.05,30519.48,46912.31,104.65,88.32,196.15,74.95,1.03,,,,465.1,20.05,16.3,16.55,32.31,67.97,67.34,11.06,,231.57,3005.8,3994.23,4552.79,7163.03,8205.97,38643.44,10626.15,21108.49,97299.9
2025,2025-03-31,PUNJAB NATIONAL BANK,PUBLIC SECTOR BANKS,False,84874.17,34351.71,113735.44,93834.64,219771.22,179534.98,439506.46,401014.66,1566623.28,33867.6,2581.35,1647.42,2108.64,2733.96,4725.18,2379.46,33733.11,83776.72,3591.53,3760.44,13705.15,11098.1,17452.38,55815.57,83102.74,308785.34,497311.25,28775.74,11717.15,17211.07,16063.97,12032.5,15674.87,10608.38,2727.57,114811.25,9964.31,14440.96,18422.55,20306.04,7724.03,12828.08,11842.64,2758.64,98287.25,55548.72,38156.2,131167.18,84038.86,87859.7,363463.01,116556.79,200684.11,1077474.57
2025,2025-03-31,STATE BANK OF INDIA,PUBLIC SECTOR BANKS,False,238194.2,80701.48,210258.39,238139.88,1078275.61,1565899.8,526373.78,1444346.39,5382189.53,34109.83,38634.75,73216.11,85976.72,76812.87,67928.29,42690.1,144203.85,563572.52,2893.73,7238.04,24478.32,31462.9,128934.35,255613.91,343126.82,896824.68,1690572.75,35524.96,40764.49,97049.58,111516.9,95799.96,228356.41,96916.46,85263.59,791192.35,48564.7,48649.25,126487.41,119832.52,127862.75,122011.75,55320.36,19769.9,668498.64,99521.09,66965.61,160654.71,209083.92,290875.1,1615800.15,508882.11,1211529.41,4163312.1
