Year,Report Date,Bank Name,Bank Type,Is_Aggregate,Gross NPAs_Opening Balance,Gross NPAs_Addition,Gross NPAs_Reduction,Gross NPAs_Write-off,Gross NPAs_Closing Balance,Net NPAs_Opening Balance,Net NPAs_Closing Balance
2025,2025-03-31,BANK OF BARODA,PUBLIC SECTOR BANKS,False,31833.63,9310.13,4320.06,8988.82,27834.88,7213.34,6994.22
2025,2025-03-31,BANK OF INDIA,PUBLIC SECTOR BANKS,False,29182.77,7588.56,7265.87,7756.57,21748.89,6845.26,5358.49
2025,2025-03-31,BANK OF MAHARASHTRA,PUBLIC SECTOR BANKS,False,3833.05,1687.86,540.8,795.59,4184.52,408.99,431.78
2025,2025-03-31,CANARA BANK,PUBLIC SECTOR BANKS,False,40605.0,8544.0,3269.0,14350.0,31530.0,11823.0,7353.0
2025,2025-03-31,CENTRAL BANK OF INDIA,PUBLIC SECTOR BANKS,False,11340.34,3494.58,2270.78,3339.36,9224.78,3001.95,1543.25
2025,2025-03-31,INDIAN BANK,PUBLIC SECTOR BANKS,False,21106.31,5786.46,3839.07,4874.84,18178.86,2222.58,1109.56
2025,2025-03-31,INDIAN OVERSEAS BANK,PUBLIC SECTOR BANKS,False,6794.43,3627.54,1191.41,3882.84,5347.72,1216.85,911.86
2025,2025-03-31,PUNJAB AND SIND BANK,PUBLIC SECTOR BANKS,False,4665.35,822.42,596.56,1521.15,3370.06,1350.46,937.06
2025,2025-03-31,PUNJAB NATIONAL BANK,PUBLIC SECTOR BANKS,False,56343.05,6761.25,6864.13,12158.57,44081.6,6798.77,4290.55
2025,2025-03-31,STATE BANK OF INDIA,PUBLIC SECTOR BANKS,False,84276.33,20817.57,7904.99,20308.71,76880.2,21051.08,19666.92
2025,2025-03-31,UCO BANK,PUBLIC SECTOR BANKS,False,6463.31,2247.91,1226.58,1566.1,5918.54,1621.65,1068.31
2025,2025-03-31,UNION BANK OF INDIA,PUBLIC SECTOR BANKS,False,43097.73,12073.93,8187.9,11633.38,35350.38,8989.92,5969.29
2025,2025-03-31,PUBLIC SECTOR BANKS,PUBLIC SECTOR BANKS,True,339541.3,82762.21,47477.15,91175.93,283650.43,72543.85,55634.29
2025,2025-03-31,AXIS BANK LIMITED,PRIVATE SECTOR BANKS,False,14345.04,19441.97,8019.43,11806.39,13961.19,3247.47,3685.45
