Year,Report Date,Bank Name,Bank Type,Is_Aggregate,Capital Market Sector,Real Estate Sector,Commodities,Total
2025,2025-03-31,BANK OF BARODA,PUBLIC SECTOR BANKS,False,4754.06,205573.33,,210327.39
2025,2025-03-31,BANK OF INDIA,PUBLIC SECTOR BANKS,False,4951.17,108983.8,,113934.97
2025,2025-03-31,BANK OF MAHARASHTRA,PUBLIC SECTOR BANKS,False,281.39,62531.01,,62812.4
2025,2025-03-31,CANARA BANK,PUBLIC SECTOR BANKS,False,6346.43,170282.8,,176629.23
2025,2025-03-31,CENTRAL BANK OF INDIA,PUBLIC SECTOR BANKS,False,1367.74,79506.97,,80874.71
2025,2025-03-31,INDIAN BANK,PUBLIC SECTOR BANKS,False,2444.58,106786.63,,109231.21
2025,2025-03-31,INDIAN OVERSEAS BANK,PUBLIC SECTOR BANKS,False,1297.19,40633.82,,41931.01
2025,2025-03-31,PUNJAB AND SIND BANK,PUBLIC SECTOR BANKS,False,996.08,18582.53,,19578.61
2025,2025-03-31,PUNJAB NATIONAL BANK,PUBLIC SECTOR BANKS,False,4260.35,264177.06,,268437.41
2025,2025-03-31,STATE BANK OF INDIA,PUBLIC SECTOR BANKS,False,53637.1,1088703.32,,1142340.42
2025,2025-03-31,UCO BANK,PUBLIC SECTOR BANKS,False,786.17,39715.5,,40501.67
2025,2025-03-31,UNION BANK OF INDIA,PUBLIC SECTOR BANKS,False,6802.2,153992.45,,160794.65
2025,2025-03-31,PUBLIC SECTOR BANKS,PUBLIC SECTOR BANKS,True,87924.46,2339469.22,,2427393.68
2025,2025-03-31,AXIS BANK LIMITED,PRIVATE SECTOR BANKS,False,41958.86,306323.41,,348282.27
2025,2025-03-31,BANDHAN BANK LIMITED,PRIVATE SECTOR BANKS,False,811.37,41410.29,,42221.66
2025,2025-03-31,CITY UNION BANK LIMITED,PRIVATE SECTOR BANKS,False,9.23,6618.97,,6628.2
2025,2025-03-31,CSB BANK LIMITED,PRIVATE SECTOR BANKS,False,602.52,1657.48,,2260.0
2025,2025-03-31,DCB BANK LIMITED,PRIVATE SECTOR BANKS,False,155.5,16697.95,,16853.45
2025,2025-03-31,DHANLAXMI BANK LIMITED,PRIVATE SECTOR BANKS,False,19.83,1824.42,,1844.25
2025,2025-03-31,FEDERAL BANK LTD,PRIVATE SECTOR BANKS,False,3354.22,51157.09,,54511.31
2025,2025-03-31,HDFC BANK LTD.,PRIVATE SECTOR BANKS,False,58115.47,925670.76,,983786.23
2025,2025-03-31,ICICI BANK LIMITED,PRIVATE SECTOR BANKS,False,54468.57,602173.53,,656642.1
2025,2025-03-31,IDBI BANK LIMITED,PRIVATE SECTOR BANKS,False,2123.0,92019.0,,94142.0
2025,2025-03-31,IDFC FIRST BANK LIMITED,PRIVATE SECTOR BANKS,False,5967.42,34528.77,,40496.19
2025,2025-03-31,INDUSIND BANK LTD,PRIVATE SECTOR BANKS,False,5711.68,58266.83,,63978.51
2025,2025-03-31,JAMMU & KASHMIR BANK LTD,PRIVATE SECTOR BANKS,False,107.54,22585.91,,22693.45
2025,2025-03-31,KARNATAKA BANK LTD,PRIVATE SECTOR BANKS,False,205.03,15469.12,,15674.15
2025,2025-03-31,KARUR VYSYA BANK LTD,PRIVATE SECTOR BANKS,False,497.79,14556.99,,15054.78
2025,2025-03-31,KOTAK MAHINDRA BANK LTD.,PRIVATE SECTOR BANKS,False,12580.15,78594.44,,91174.59
2025,2025-03-31,NAINITAL BANK LTD,PRIVATE SECTOR BANKS,False,,1456.3,,1456.3
2025,2025-03-31,RBL BANK LTD,PRIVATE SECTOR BANKS,False,2255.31,15783.6,,18038.91
2025,2025-03-31,SOUTH INDIAN BANK LTD,PRIVATE SECTOR BANKS,False,73.72,10362.24,,10435.96
2025,2025-03-31,TAMILNAD MERCANTILE BANK LTD,PRIVATE SECTOR BANKS,False,28.6,5178.36,,5206.95
2025,2025-03-31,YES BANK LTD.,PRIVATE SECTOR BANKS,False,2899.64,36697.69,,39597.33
2025,2025-03-31,PRIVATE SECTOR BANKS,PRIVATE SECTOR BANKS,True,191945.45,2339033.15,,2530978.61
2025,2025-03-31,AB BANK PLC,FOREIGN BANKS,False,,,,
2025,2025-03-31,AMERICAN EXPRESS BANKING CORP.,FOREIGN BANKS,False,15.84,21.82,,37.66
2025,2025-03-31,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,FOREIGN BANKS,False,,,,
2025,2025-03-31,"BANK OF AMERICA , NATIONAL ASSOCIATION",FOREIGN BANKS,False,375.0,,,375.0
2025,2025-03-31,BANK OF BAHRAIN & KUWAIT B.S.C.,FOREIGN BANKS,False,,27.75,,27.75
2025,2025-03-31,BANK OF CEYLON,FOREIGN BANKS,False,,27.73,,27.73
2025,2025-03-31,BANK OF CHINA LIMITED,FOREIGN BANKS,False,,,,
2025,2025-03-31,BANK OF NOVA SCOTIA,FOREIGN BANKS,False,,,,
2025,2025-03-31,BARCLAYS BANK PLC,FOREIGN BANKS,False,105.0,885.32,,990.32
2025,2025-03-31,BNP PARIBAS,FOREIGN BANKS,False,0.01,300.0,,300.01
2025,2025-03-31,CITIBANK N.A,FOREIGN BANKS,False,6997.52,3039.29,,10036.8
2025,2025-03-31,COOPERATIEVE RABOBANK U.A.,FOREIGN BANKS,False,,,,
2025,2025-03-31,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,FOREIGN BANKS,False,,0.76,,0.76
2025,2025-03-31,"CTBC BANK CO., LTD.",FOREIGN BANKS,False,2.3,92.96,,95.26
2025,2025-03-31,DBS BANK INDIA LIMITED,FOREIGN BANKS,False,1075.45,13168.99,,14244.44
2025,2025-03-31,DEUTSCHE BANK AG,FOREIGN BANKS,False,3855.59,25133.36,,28988.96
2025,2025-03-31,DOHA BANK Q.P.S.C.,FOREIGN BANKS,False,,101.04,,101.04
2025,2025-03-31,EMIRATES NBD BANK (P.J.S.C.),FOREIGN BANKS,False,,,,
2025,2025-03-31,FIRST ABU DHABI BANK PJSC,FOREIGN BANKS,False,,499.0,,499.0
2025,2025-03-31,FIRSTRAND BANK LTD,FOREIGN BANKS,False,,,,
2025,2025-03-31,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,FOREIGN BANKS,False,,,,
2025,2025-03-31,INDUSTRIAL BANK OF KOREA,FOREIGN BANKS,False,,95.0,,95.0
2025,2025-03-31,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,FOREIGN BANKS,False,,70.75,,70.75
2025,2025-03-31,JSC VTB BANK,FOREIGN BANKS,False,,,,
2025,2025-03-31,KEB HANA BANK,FOREIGN BANKS,False,,319.0,,319.0
2025,2025-03-31,KOOKMIN BANK,FOREIGN BANKS,False,,,,
2025,2025-03-31,MASHREQ BANK PSC,FOREIGN BANKS,False,,400.0,,400.0
2025,2025-03-31,MIZUHO BANK LTD,FOREIGN BANKS,False,,485.84,,485.84
2025,2025-03-31,"MUFG BANK, LTD.",FOREIGN BANKS,False,950.0,257.45,,1207.45
2025,2025-03-31,NATWEST MARKETS PLC,FOREIGN BANKS,False,,,,
2025,2025-03-31,NONGHYUP BANK,FOREIGN BANKS,False,,,,
2025,2025-03-31,PT BANK MAYBANK INDONESIA TBK,FOREIGN BANKS,False,,,,
2025,2025-03-31,QATAR NATIONAL BANK (Q.P.S.C),FOREIGN BANKS,False,,30.38,,30.38
2025,2025-03-31,SBERBANK,FOREIGN BANKS,False,1.71,,,1.71
2025,2025-03-31,SBM BANK (INDIA) LIMITED,FOREIGN BANKS,False,153.4,1140.67,,1294.07
2025,2025-03-31,SHINHAN BANK,FOREIGN BANKS,False,,4167.2,,4167.2
2025,2025-03-31,SOCIETE GENERALE,FOREIGN BANKS,False,,85.04,,85.04
2025,2025-03-31,SONALI BANK PLC,FOREIGN BANKS,False,,,,
2025,2025-03-31,STANDARD CHARTERED BANK,FOREIGN BANKS,False,3357.09,34313.69,,37670.77
2025,2025-03-31,SUMITOMO MITSUI BANKING CORPORATION,FOREIGN BANKS,False,725.0,1724.54,,2449.54
2025,2025-03-31,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,FOREIGN BANKS,False,7934.06,51014.2,,58948.26
2025,2025-03-31,UBS AG,FOREIGN BANKS,False,20.0,,,20.0
2025,2025-03-31,UNITED OVERSEAS BANK LTD,FOREIGN BANKS,False,,,,
2025,2025-03-31,WOORI BANK,FOREIGN BANKS,False,,,,
2025,2025-03-31,FOREIGN BANKS,FOREIGN BANKS,True,25567.96,137401.77,,162969.72
2025,2025-03-31,AU SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,534.98,18979.1,,19514.08
2025,2025-03-31,CAPITAL SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,4.21,2092.85,,2097.06
2025,2025-03-31,EQUITAS SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,43.64,19594.2,,19637.84
2025,2025-03-31,ESAF SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,22.51,846.62,,869.13
2025,2025-03-31,JANA SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,29.15,5789.51,,5818.66
2025,2025-03-31,NORTH EAST SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,,0.31,,0.31
2025,2025-03-31,SHIVALIK SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,,242.1,,242.1
2025,2025-03-31,SURYODAY SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,,1200.39,,1200.39
2025,2025-03-31,UJJIVAN SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,476.98,9599.76,,10076.74
2025,2025-03-31,UNITY SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,63.52,50.2,,113.72
2025,2025-03-31,UTKARSH SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,2.79,5110.83,,5113.62
2025,2025-03-31,SMALL FINANCE BANKS,SMALL FINANCE BANKS,True,1177.78,63505.88,,64683.66
2025,2025-03-31,AIRTEL PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,
2025,2025-03-31,FINO PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,0.08,,,0.08
2025,2025-03-31,INDIA POST PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,
2025,2025-03-31,PAYTM PAYMENTS BANK LIMITED,PAYMENTS BANKS,False,,,,
2025,2025-03-31,PAYMENTS BANKS,PAYMENTS BANKS,True,0.08,,,0.08
2025,2025-03-31,ALL SCHEDULED COMMERCIAL BANKS,ALL SCHEDULED COMMERCIAL BANKS,True,306615.73,4879410.02,,5186025.75
2024,2024-03-31,BANK OF BARODA,PUBLIC SECTOR BANKS,False,3480.69,179892.66,,183373.35
2024,2024-03-31,BANK OF INDIA,PUBLIC SECTOR BANKS,False,2608.28,81444.61,,84052.89
2024,2024-03-31,BANK OF MAHARASHTRA,PUBLIC SECTOR BANKS,False,150.34,48248.8,,48399.14
2024,2024-03-31,CANARA BANK,PUBLIC SECTOR BANKS,False,4560.83,153072.64,,157633.47
2024,2024-03-31,CENTRAL BANK OF INDIA,PUBLIC SECTOR BANKS,False,1046.81,63405.37,,64452.18
2024,2024-03-31,INDIAN BANK,PUBLIC SECTOR BANKS,False,3126.1,99429.93,,102556.03
2024,2024-03-31,INDIAN OVERSEAS BANK,PUBLIC SECTOR BANKS,False,1053.35,36461.84,,37515.19
2024,2024-03-31,PUNJAB AND SIND BANK,PUBLIC SECTOR BANKS,False,732.99,14090.7,,14823.69
2024,2024-03-31,PUNJAB NATIONAL BANK,PUBLIC SECTOR BANKS,False,2834.25,225779.71,,228613.96
2024,2024-03-31,STATE BANK OF INDIA,PUBLIC SECTOR BANKS,False,42116.41,947857.57,,989973.98
2024,2024-03-31,UCO BANK,PUBLIC SECTOR BANKS,False,425.12,36856.18,,37281.3
2024,2024-03-31,UNION BANK OF INDIA,PUBLIC SECTOR BANKS,False,5952.89,144533.46,,150486.35
2024,2024-03-31,PUBLIC SECTOR BANKS,PUBLIC SECTOR BANKS,True,68088.06,2031073.47,,2099161.53
2024,2024-03-31,AXIS BANK LIMITED,PRIVATE SECTOR BANKS,False,27741.3,304722.19,,332463.49
2024,2024-03-31,BANDHAN BANK LIMITED,PRIVATE SECTOR BANKS,False,1207.55,35635.91,,36843.46
2024,2024-03-31,CITY UNION BANK LIMITED,PRIVATE SECTOR BANKS,False,4.76,5215.41,,5220.17
2024,2024-03-31,CSB BANK LIMITED,PRIVATE SECTOR BANKS,False,3.79,1697.74,,1701.52
2024,2024-03-31,DCB BANK LIMITED,PRIVATE SECTOR BANKS,False,259.36,14776.66,,15036.01
2024,2024-03-31,DHANLAXMI BANK LIMITED,PRIVATE SECTOR BANKS,False,36.44,1729.51,,1765.95
2024,2024-03-31,FEDERAL BANK LTD,PRIVATE SECTOR BANKS,False,3369.03,48999.62,,52368.65
2024,2024-03-31,HDFC BANK LTD.,PRIVATE SECTOR BANKS,False,47273.27,935943.56,,983216.83
2024,2024-03-31,ICICI BANK LIMITED,PRIVATE SECTOR BANKS,False,47845.13,526885.98,,574731.11
2024,2024-03-31,IDBI BANK LIMITED,PRIVATE SECTOR BANKS,False,1980.0,83660.0,,85640.0
2024,2024-03-31,IDFC FIRST BANK LIMITED,PRIVATE SECTOR BANKS,False,3098.36,29543.12,,32641.48
2024,2024-03-31,INDUSIND BANK LTD,PRIVATE SECTOR BANKS,False,7061.04,46607.22,,53668.26
2024,2024-03-31,JAMMU & KASHMIR BANK LTD,PRIVATE SECTOR BANKS,False,90.55,19430.97,,19521.52
2024,2024-03-31,KARNATAKA BANK LTD,PRIVATE SECTOR BANKS,False,233.0,15127.29,,15360.29
2024,2024-03-31,KARUR VYSYA BANK LTD,PRIVATE SECTOR BANKS,False,385.23,12999.85,,13385.08
2024,2024-03-31,KOTAK MAHINDRA BANK LTD.,PRIVATE SECTOR BANKS,False,14425.89,76239.77,,90665.67
2024,2024-03-31,NAINITAL BANK LTD,PRIVATE SECTOR BANKS,False,,1243.66,,1243.66
2024,2024-03-31,RBL BANK LTD,PRIVATE SECTOR BANKS,False,2777.17,11231.22,,14008.39
2024,2024-03-31,SOUTH INDIAN BANK LTD,PRIVATE SECTOR BANKS,False,160.23,7550.44,,7710.67
2024,2024-03-31,TAMILNAD MERCANTILE BANK LTD,PRIVATE SECTOR BANKS,False,32.75,5358.41,,5391.16
2024,2024-03-31,YES BANK LTD.,PRIVATE SECTOR BANKS,False,4198.81,34749.03,,38947.83
2024,2024-03-31,PRIVATE SECTOR BANKS,PRIVATE SECTOR BANKS,True,162183.65,2219347.55,,2381531.2
2024,2024-03-31,AB BANK LIMITED,FOREIGN BANKS,False,,,,
2024,2024-03-31,AMERICAN EXPRESS BANKING CORP.,FOREIGN BANKS,False,15.88,9.44,,25.32
2024,2024-03-31,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,FOREIGN BANKS,False,,,,
2024,2024-03-31,"BANK OF AMERICA , NATIONAL ASSOCIATION",FOREIGN BANKS,False,375.0,,,375.0
2024,2024-03-31,BANK OF BAHRAIN & KUWAIT B.S.C.,FOREIGN BANKS,False,,30.42,,30.42
2024,2024-03-31,BANK OF CEYLON,FOREIGN BANKS,False,,56.54,,56.54
2024,2024-03-31,BANK OF CHINA LIMITED,FOREIGN BANKS,False,,,,
2024,2024-03-31,BANK OF NOVA SCOTIA,FOREIGN BANKS,False,,,,
2024,2024-03-31,BARCLAYS BANK PLC,FOREIGN BANKS,False,105.0,666.77,,771.77
2024,2024-03-31,BNP PARIBAS,FOREIGN BANKS,False,0.01,300.0,,300.01
2024,2024-03-31,CITIBANK N.A,FOREIGN BANKS,False,2097.46,1483.56,,3581.02
2024,2024-03-31,COOPERATIEVE RABOBANK U.A.,FOREIGN BANKS,False,,,,
2024,2024-03-31,CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK,FOREIGN BANKS,False,,1.43,,1.43
2024,2024-03-31,CREDIT SUISSE AG,FOREIGN BANKS,False,55.0,261.7,,316.7
2024,2024-03-31,"CTBC BANK CO., LTD.",FOREIGN BANKS,False,,92.99,,92.99
2024,2024-03-31,DBS BANK INDIA LIMITED,FOREIGN BANKS,False,1433.47,9876.72,,11310.18
2024,2024-03-31,DEUTSCHE BANK AG,FOREIGN BANKS,False,1458.42,21882.86,,23341.28
2024,2024-03-31,DOHA BANK Q.P.S.C.,FOREIGN BANKS,False,0.87,89.81,,90.68
2024,2024-03-31,EMIRATES NBD BANK (P.J.S.C.),FOREIGN BANKS,False,,,,
2024,2024-03-31,FIRST ABU DHABI BANK PJSC,FOREIGN BANKS,False,,399.0,,399.0
2024,2024-03-31,FIRSTRAND BANK LTD,FOREIGN BANKS,False,,,,
2024,2024-03-31,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,FOREIGN BANKS,False,,,,
2024,2024-03-31,INDUSTRIAL BANK OF KOREA,FOREIGN BANKS,False,,75.0,,75.0
2024,2024-03-31,JPMORGAN CHASE BANK NATIONAL ASSOCIATION,FOREIGN BANKS,False,,72.21,,72.21
2024,2024-03-31,JSC VTB BANK,FOREIGN BANKS,False,,,,
2024,2024-03-31,KEB HANA BANK,FOREIGN BANKS,False,,245.0,,245.0
2024,2024-03-31,KOOKMIN BANK,FOREIGN BANKS,False,,,,
2024,2024-03-31,KRUNG THAI BANK PUBLIC COMPANY LIMITED,FOREIGN BANKS,False,,,,
2024,2024-03-31,MASHREQ BANK PSC,FOREIGN BANKS,False,,200.0,,200.0
2024,2024-03-31,MIZUHO BANK LTD,FOREIGN BANKS,False,,3.72,,3.72
2024,2024-03-31,"MUFG BANK, LTD.",FOREIGN BANKS,False,20.0,,,20.0
2024,2024-03-31,NATWEST MARKETS PLC,FOREIGN BANKS,False,,,,
2024,2024-03-31,NONGHYUP BANK,FOREIGN BANKS,False,,,,
2024,2024-03-31,PT BANK MAYBANK INDONESIA TBK,FOREIGN BANKS,False,,,,
2024,2024-03-31,QATAR NATIONAL BANK (Q.P.S.C),FOREIGN BANKS,False,,41.88,,41.88
2024,2024-03-31,SBERBANK,FOREIGN BANKS,False,1.71,,,1.71
2024,2024-03-31,SBM BANK (INDIA) LIMITED,FOREIGN BANKS,False,135.76,1016.03,,1151.8
2024,2024-03-31,SHINHAN BANK,FOREIGN BANKS,False,,2913.1,,2913.1
2024,2024-03-31,SOCIETE GENERALE,FOREIGN BANKS,False,,5.91,,5.91
2024,2024-03-31,SONALI BANK,FOREIGN BANKS,False,,,,
2024,2024-03-31,STANDARD CHARTERED BANK,FOREIGN BANKS,False,3060.52,39698.23,,42758.75
2024,2024-03-31,SUMITOMO MITSUI BANKING CORPORATION,FOREIGN BANKS,False,,2108.7,,2108.7
2024,2024-03-31,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,FOREIGN BANKS,False,4737.68,47322.98,,52060.66
2024,2024-03-31,UNITED OVERSEAS BANK LTD,FOREIGN BANKS,False,,,,
2024,2024-03-31,WOORI BANK,FOREIGN BANKS,False,,6.53,,6.53
2024,2024-03-31,FOREIGN BANKS,FOREIGN BANKS,True,13496.78,128860.53,,142357.31
2024,2024-03-31,AU SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,333.74,11570.95,,11904.69
2024,2024-03-31,CAPITAL SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,1.54,1766.44,,1767.98
2024,2024-03-31,EQUITAS SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,0.21,16071.0,,16071.21
2024,2024-03-31,ESAF SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,10.7,450.13,,460.83
2024,2024-03-31,FINCARE SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,,,,
2024,2024-03-31,JANA SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,,3832.64,,3832.64
2024,2024-03-31,NORTH EAST SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,,0.54,,0.54
2024,2024-03-31,SHIVALIK SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,,147.9,,147.9
2024,2024-03-31,SURYODAY SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,,947.96,,947.96
2024,2024-03-31,UJJIVAN SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,30.1,6449.12,,6479.22
2024,2024-03-31,UNITY SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,106.04,186.66,,292.69
2024,2024-03-31,UTKARSH SMALL FINANCE BANK LIMITED,SMALL FINANCE BANKS,False,,3705.7,,3705.7
