LAF Auction Date,Report Date,Year,Repo (Fixed Rate)_Repo/Reverse Repo Period (Days),Repo (Fixed Rate)_Bids Received_Number,Repo (Fixed Rate)_Bids Received_Amount,Repo (Fixed Rate)_Bids Accepted_Number,Repo (Fixed Rate)_Bids Accepted_Amount,Repo (Fixed Rate)_Cut-off Rate (%),Reverse Repo (Fixed Rate)_Bids Received_Number,Reverse Repo (Fixed Rate)_Bids Received_Amount,Reverse Repo (Fixed Rate)_Bids Accepted_Number,Reverse Repo (Fixed Rate)_Bids Accepted_Amount,Reverse Repo (Fixed Rate)_Cut-off Rate (%),Repo (Variable Rate)_Period (Days),Repo (Variable Rate)_Bids Received_Number,Repo (Variable Rate)_Bids Received_Amount,Repo (Variable Rate)_Bids Accepted_Number,Repo (Variable Rate)_Bids Accepted_Amount,Repo (Variable Rate)_Cut-off Rate (%),Reverse Repo (Variable Rate)_Period (Days),Reverse Repo (Variable Rate)_Bids Received_Number,Reverse Repo (Variable Rate)_Bids Received_Amount,Reverse Repo (Variable Rate)_Bids Accepted_Number,Reverse Repo (Variable Rate)_Bids Accepted_Amount,Reverse Repo (Variable Rate)_Cut-off Rate (%)
"Aug 13, 2024",2024-08-13,2024,,,,,,,,,,,,,,,,,,4.0,24.0,22505.0,24.0,22505.0,0.0
"Aug 12, 2024",2024-08-12,2024,,,,,,,,,,,,,,,,,,4.0,34.0,42970.0,34.0,42970.0,0.0
"Aug 09, 2024",2024-08-09,2024,,,,,,,,,,,,,,,,,,17.0,62.0,60190.0,62.0,60190.0,0.0
"Aug 06, 2024",2024-08-06,2024,,,,,,,,,,,,,,,,,,4.0,33.0,43757.0,33.0,43757.0,0.0
"Aug 05, 2024",2024-08-05,2024,,,,,,,,,,,,,,,,,,4.0,47.0,78955.0,47.0,78955.0,0.0
"Aug 02, 2024",2024-08-02,2024,,,,,,,,,,,,,,,,,,7.0,33.0,59860.0,33.0,59860.0,0.0
"Aug 01, 2024",2024-08-01,2024,,,,,,,,,,,,,,,,,,1.0,28.0,32831.0,28.0,32831.0,0.0
"Jul 31, 2024",2024-07-31,2024,,,,,,,,,,,,,,,,,,2.0,8.0,7000.0,8.0,7000.0,0.0
"Jul 30, 2024",2024-07-30,2024,,,,,,,,,,,,,,,,,,3.0,19.0,23855.0,19.0,23855.0,0.0
"Jul 29, 2024",2024-07-29,2024,,,,,,,,,,,,,,,,,,4.0,24.0,41785.0,24.0,41785.0,0.0
"Jul 26, 2024",2024-07-26,2024,,,,,,,,,,,,,,,,,,14.0,9.0,23420.0,9.0,23420.0,0.0
"Jul 24, 2024",2024-07-24,2024,,,,,,,,,,,,,,,,,,2.0,11.0,3860.0,11.0,3860.0,0.0
"Jul 19, 2024",2024-07-19,2024,,,,,,,,,,,,,,,,,,3.0,27.0,33705.0,27.0,33705.0,0.0
"Jul 18, 2024",2024-07-18,2024,,,,,,,,,,,,,,,,,,1.0,64.0,74238.0,33.0,45360.0,0.0
"Jul 16, 2024",2024-07-16,2024,,,,,,,,,,,,,,,,,,3.0,20.0,25465.0,20.0,25009.0,0.0
"Jul 15, 2024",2024-07-15,2024,,,,,,,,,,,,,,,,,,4.0,20.0,37220.0,20.0,37220.0,0.0
"Jul 12, 2024",2024-07-12,2024,,,,,,,,,,,,,,,,,,14.0,13.0,9581.0,13.0,9581.0,0.0
"Jul 11, 2024",2024-07-11,2024,,,,,,,,,,,,,,,,,,1.0,27.0,26560.0,27.0,25006.0,0.0
"Jul 10, 2024",2024-07-10,2024,,,,,,,,,,,,,,,,,,2.0,22.0,10770.0,22.0,10770.0,0.0
"Jul 09, 2024",2024-07-09,2024,,,,,,,,,,,,,,,,,,3.0,16.0,21310.0,16.0,21310.0,0.0
"Jul 08, 2024",2024-07-08,2024,,,,,,,,,,,,,,,,,,4.0,10.0,22890.0,10.0,22890.0,0.0
"Jul 05, 2024",2024-07-05,2024,,,,,,,,,,,,,,,,,,3.0,31.0,61731.0,31.0,61731.0,0.0
